CycleNo,Navg
1912,-4768.121287
1932,-6540.495769
1933,-5112.891355
1943,-6484.243629
2016,-6414.892096
2025,-3678.151927
2027,-4356.855548
2030,-4550.991685
2042,-4357.229394
2053,-6172.872541
2065,-6189.888768
2071,-5094.800636
2080,-6511.443019
2112,-6418.108601
2123,-4545.458807
2161,-6744.221791
2175,-4426.336914
2189,-4543.390894
2268,-4608.511733
2283,-5988.528601
2313,-3680.448289
2318,-5578.615681
2321,-6549.068419
2353,-4106.464460
2365,-6258.569252
2379,-4274.664331
2389,-5479.005876
2402,-6341.933064
2407,-4280.351710
2428,-4900.139578
2461,-6246.020938
2467,-4705.189702
2475,-6599.586788
2486,-4948.576423
2557,-5517.699076
2563,-6608.709008
2595,-6665.206425
2600,-5105.543677
2632,-4309.119072
2648,-6053.567921
2655,-4358.786227
2657,-6491.468886
2681,-3899.820887
2683,-5784.566466
2684,-5912.469252
2696,-3831.263116
2705,-6310.679854
2715,-5334.967416
2779,-4071.542201
2780,-3933.979877
2801,-5615.447298
2914,-6085.041727
2930,-4095.132587
2935,-5881.028367
2954,-4386.273022
3002,-5854.258520
3005,-5444.331093
3027,-6756.684157
3039,-6510.077988
3048,-4095.132587
3077,-6185.893946
3082,-5556.492320
3107,-5279.629731
3154,-5797.550721
3157,-6705.964330
3198,-4075.569298
3199,-4303.157056
3217,-6698.311676
3221,-4232.353611
3242,-6623.366478
3315,-5799.258115
3330,-3962.007584
3392,-4339.114977
3480,-5798.288096
3523,-4078.321003
3530,-5251.368057
3575,-6827.047225
3603,-5156.805258
3651,-4078.696765
3666,-5883.311768
3809,-4820.108213
3864,-6199.675946
3944,-4942.799334
3977,-7116.735732
3992,-6255.860527
4178,-6573.162083
4194,-5573.796674
4214,-5510.985478
4223,-6602.567671
4253,-4691.322556
4259,-4115.352766
4300,-4115.352766
4316,-6958.953675
4391,-5067.503991
4533,-5853.624861
4582,-4948.210285
4641,-5754.277201
4653,-4388.887471
4654,-4285.091430
4710,-6686.284877
4754,-4375.566335
4912,-6454.372156
4955,-7039.668984
4963,-4703.587086
4992,-4405.484869
5034,-7091.673295
5121,-4860.615819
5172,-5479.312539
5199,-6500.313469
5259,-4391.969285
5374,-5117.291586
5393,-5815.483493
5413,-6857.846102
5508,-4461.718323
5622,-6538.751311
5631,-6911.182834
5698,-4972.360960
5829,-6816.910966
5843,-4157.662029
5863,-5498.158999
5873,-4344.195639
5959,-5907.887225
6135,-6014.049576
6293,-4441.023099
6304,-4908.975300
6316,-6558.717885
6332,-4741.688408
6436,-6765.551191
6498,-3879.325590
6520,-4909.770855
6573,-4912.576369
6666,-5328.608815
6678,-7259.595547
6697,-7004.677208
6715,-6216.318689
6832,-4502.359911
6846,-4799.672739
6906,-6714.408279
6934,-5323.440490
7118,-6291.878823
7120,-6268.180113
7240,-5618.687619
7334,-4798.403015
7391,-5303.803642
7410,-3979.750103
7474,-7000.014524
7836,-5078.713721
7883,-5142.148954
7895,-6593.305628
7949,-5226.731401
8243,-4014.576297
8276,-4270.341937
8469,-6289.037690
8475,-5727.991246
8518,-5313.714204
8636,-6108.324327
8677,-5079.721761
8978,-4501.920409
9277,-4274.684614
9290,-5534.854963
9369,-5395.301456
9451,-5842.649307
9548,-4308.797990
9566,-6695.294341
9667,-6015.635927
9823,-7063.410484
10176,-6166.976342
10416,-4391.023832
10556,-5868.759215
11004,-7106.517948
11007,-7216.114936
11463,-5090.832023
11567,-5020.262948
11999,-4490.757148
12077,-5668.872503
12111,-4586.836979
12135,-4352.832305
12164,-4581.374168
12360,-4493.920854
12503,-5080.750744
12544,-5726.126551
12568,-4600.965243
12584,-4537.051205
12829,-4907.143618
13120,-4691.969686
13325,-6922.059764
13372,-4358.564896
13532,-5033.004102
13641,-4529.204461
13674,-5188.347476
13817,-3982.678498
13879,-7006.418150
13949,-6066.644783
14123,-4384.108652
14317,-4102.077926
14734,-4933.824356
14755,-4557.941253
14846,-6765.370554
15009,-4386.530319
15114,-4102.077926
15126,-4752.037968
15423,-5671.539085
15550,-4513.124442
15912,-7003.143739
15946,-4816.294170
15990,-5229.556183
16002,-4752.129108
16042,-4037.560978
16105,-4512.224087
16325,-5748.911398
16376,-6909.676619
16541,-4716.613446
16738,-5070.110327
16761,-5592.874140
16789,-6642.912219
16838,-4908.394347
16912,-4028.230104
17014,-4560.692479
17430,-5342.698523
17874,-5240.215912
18179,-4997.875292
18494,-4523.461832
18525,-4523.461832
19080,-5858.745200
19609,-6068.451634
19719,-5444.491007
19737,-5716.520197
20164,-4223.709981
20260,-6135.900019
20693,-3981.149163
20850,-4223.709981
21540,-4279.536609
21863,-5021.260044
21916,-4311.291955
22284,-3999.698491
22516,-5200.936064
22603,-6071.665221
22610,-4885.453053
22631,-5803.909348
22731,-4769.347577
22906,-5248.432686
23038,-5248.432686
23263,-5913.635837
23777,-5919.068786
24506,-4347.098990
24539,-5392.221188
24574,-6761.649724
24659,-4352.384378
25587,-5416.207714
26044,-5903.770374
26413,-4592.411238
26494,-4577.707886
26655,-4763.954451
26876,-4570.995070
27147,-6019.538757
27181,-4051.363162
27207,-4051.363162
27824,-5795.389376
28130,-6531.157510
28207,-5785.526241
28438,-7097.975812
28926,-5045.773799
30627,-4424.300738
30761,-5446.662693
31092,-4851.052060
31284,-6772.650818
31936,-4878.366990
32174,-5696.733171
32325,-5100.858481
32370,-5072.731825
32448,-5438.896358
32650,-5942.867213
32670,-4693.528405
32788,-5720.108332
33367,-4336.588930
33628,-4882.153433
34166,-5197.780546
34222,-5268.451539
34335,-4689.148600
34367,-4877.621420
34682,-5713.629543
34723,-6987.676932
34765,-5213.475480
34814,-4427.102235
34867,-4775.346001
35122,-5287.210274
35289,-5765.420510
35562,-6364.490165
